time,cell_id,x,y,theta
0,0,70.0,50.0,90.0
0,1,69.84229402628955,52.50666467128609,97.2
0,2,69.37166322257262,54.9737977432971,104.39999999999999
0,3,68.59552971776503,57.36249105369356,111.60000000000001
0,4,67.52613360087727,59.63507348203431,118.79999999999998
0,5,66.18033988749895,61.75570504584946,126.0
0,6,64.57937254842824,63.69094211857377,133.20000000000002
0,7,62.7484797949738,65.41026485551579,140.4
0,8,60.71653589957993,66.8865585100403,147.6
0,9,58.51558583130145,68.0965410493204,154.79999999999998
0,10,56.18033988749895,69.02113032590307,162.0
0,11,53.7476262917145,69.64574501457378,169.20000000000002
0,12,51.25581039058627,69.96053456856544,176.4
0,13,48.74418960941373,69.96053456856544,183.6
0,14,46.25237370828551,69.64574501457378,190.79999999999998
0,15,43.819660112501055,69.02113032590307,198.0
0,16,41.48441416869854,68.0965410493204,205.20000000000002
0,17,39.28346410042006,66.8865585100403,212.4
0,18,37.25152020502621,65.41026485551579,219.6
0,19,35.420627451571775,63.69094211857377,226.79999999999998
0,20,33.819660112501055,61.75570504584947,234.0
0,21,32.47386639912273,59.6350734820343,241.20000000000002
0,22,31.404470282234975,57.36249105369356,248.4
0,23,30.62833677742738,54.973797743297105,255.59999999999997
0,24,30.157705973710446,52.50666467128609,262.8
0,25,30.0,50.0,270.0
0,26,30.157705973710446,47.49333532871391,277.2
0,27,30.628336777427375,45.02620225670291,284.40000000000003
0,28,31.404470282234975,42.63750894630644,291.59999999999997
0,29,32.47386639912273,40.36492651796569,298.8
0,30,33.81966011250104,38.24429495415055,306.0
0,31,35.42062745157176,36.309057881426234,313.19999999999993
0,32,37.25152020502621,34.58973514448421,320.40000000000003
0,33,39.283464100420076,33.1134414899597,327.6
0,34,41.48441416869856,31.903458950679607,334.8
0,35,43.81966011250105,30.97886967409693,342.0
0,36,46.2523737082855,30.354254985426227,349.2
0,37,48.74418960941374,30.039465431434568,356.40000000000003
0,38,51.255810390586255,30.039465431434568,363.59999999999997
0,39,53.74762629171448,30.354254985426223,370.8
0,40,56.180339887498945,30.978869674096924,378.0
0,41,58.515585831301436,31.903458950679603,385.19999999999993
0,42,60.71653589957993,33.1134414899597,392.40000000000003
0,43,62.74847979497378,34.58973514448421,399.59999999999997
0,44,64.57937254842822,36.30905788142622,406.8
0,45,66.18033988749895,38.24429495415053,414.0
0,46,67.52613360087726,40.36492651796568,421.19999999999993
0,47,68.59552971776503,42.63750894630644,428.40000000000003
0,48,69.37166322257262,45.026202256702895,435.59999999999997
0,49,69.84229402628955,47.493335328713904,442.8
1,0,70.06033724140826,51.2620894425392,93.60000000000001
1,1,69.74397373964663,53.766364423173066,100.8
1,2,69.1162359775326,56.211241586936445,108.0
1,3,68.187023754567,58.55816376045796,115.2
1,4,66.9709913025905,60.77011857907783,122.39999999999999
1,5,65.48731617979337,62.812222193948664,129.6
1,6,63.75939682916665,64.65226941117038,136.79999999999998
1,7,61.81448357107871,66.26124158693645,144.0
1,8,59.683248849444475,67.61376426888165,151.20000000000002
1,9,57.39930350896203,68.68850736635386,158.4
1,10,54.99866673201358,69.4685215386855,165.6
1,11,52.51919799464252,69.941505496421,172.79999999999998
1,12,50.0,70.1,180.0
1,13,47.48080200535748,69.941505496421,187.20000000000002
1,14,45.00133326798642,69.4685215386855,194.4
1,15,42.60069649103798,68.68850736635386,201.59999999999997
1,16,40.31675115055552,67.61376426888165,208.8
1,17,38.18551642892129,66.26124158693645,216.00000000000003
1,18,36.24060317083335,64.65226941117038,223.20000000000002
1,19,34.51268382020663,62.812222193948664,230.4
1,20,33.029008697409495,60.77011857907783,237.59999999999997
1,21,31.812976245433006,58.55816376045796,244.80000000000004
1,22,30.88376402246741,56.211241586936445,252.0
1,23,30.25602626035336,53.76636442317307,259.19999999999993
1,24,29.93966275859174,51.26208944253921,266.40000000000003
1,25,29.939662758591737,48.7379105574608,273.59999999999997
1,26,30.25602626035336,46.233635576826934,280.8
1,27,30.883764022467407,43.78875841306356,288.0
1,28,31.81297624543301,41.44183623954204,295.2
1,29,33.029008697409495,39.22988142092216,302.40000000000003
1,30,34.512683820206625,37.18777780605134,309.59999999999997
1,31,36.24060317083335,35.34773058882963,316.8
1,32,38.18551642892129,33.73875841306355,324.0
